payment_key_hash_hex,addresses,agent_balance_base,agent_flux_units,shards_balance_base,shards_flux_units,flux_pass_balance_base,flux_pass_flux_units,se_brawlers_balance_base,se_brawlers_flux_units,brawl_pass_etd_balance_base,brawl_pass_etd_flux_units,t1_adam_pass_balance_base,t1_adam_pass_flux_units,t2_adam_pass_balance_base,t2_adam_pass_flux_units,flux_total_units,flux_total_display
7ceebdb620fc4ee382f2d693a9b31c4ac5033467df8ad0fc860522dc,addr1q97wa0dkyr7yacuz7ttf82dnr39v2qe5vl0c458usczj9hrg9nktmuz2ualqw54t89rj39q3nyhh4mqtmq767d4sggnq9gq2nz,0,0,223000000,6494337153,0,0,0,0,0,0,0,0,0,0,6494337153,6494.337153
7cf6e57039693fbd54fada5a2efc3c517b4924423be674fd285e9276,addr1q970dets895nl025ltd95thu83ghkjfygga7va8a9p0fyakluutdteuwe7nnfqulglc66jpd84xl78ak55luyjzfsa9q66xjnj,0,0,2000000,58245176,0,0,0,0,0,0,0,0,0,0,58245176,58.245176
7cf91c571aea99aa9be66f08da623672a1b672cdcaca3fb090643b48,addr1q970j8zhrt4fn25muehs3knzxee2rdnjeh9v50asjpjrkjzrs5gks5wpwzzlcwt0yjqcrej0rnpdafz2mtngfael74rqgfprhp,0,0,2000000,58245176,0,0,0,0,0,0,0,0,0,0,58245176,58.245176
7d0e54f7fe957c71cff6d1598c715c7a164a85c392c123979454c1e5,addr1q97su48hl62hcuw07mg4nrr3t3apvj59cwfvzguhj32vrewvw0hlpdzse2c2afvmjzwwedflfdpmhexppcmtg85svchs6ud5k7,250,115722568,0,0,0,0,0,0,0,0,0,0,0,0,115722568,115.722568
7d10dfeed4fef28782b632824dac5d9f5641cd0da6b9b8c8c4fbc3ec,addr1q973phlw6nl09puzkcegyndvtk04vswdpkntnwxgcnau8mxhmc8ztw3f6rguktvp05mpycm9s4ufyn56aj8exl7f5uys4du76r,69402,32125510820,0,0,0,0,0,0,0,0,0,0,0,0,32125510820,32125.51082
7d144a4b7907b9f5d3780747609b3b0f0f5fc89de41ed974de3e0313,addr1q973gjjt0yrmnawn0qr5wcym8v8s7h7gnhjpakt5mclqxyl6q2dc9q8ceqkhfq7lkypjh3fmv7mtj48dsvv944quczhq4c5u4l,0,0,3000000,87367764,0,0,0,0,0,0,0,0,0,0,87367764,87.367764
7d3b2334c5b690bd13de7ebff1f67c249711b6b0f3479f0e28812eca,addr1q97nkge5ckmfp0gnmeltlu0k0sjfwydkkre508cw9zqjaj4h689hl75s8jcr88797h32t2vz4zjtr0gaepj2eue7x8asdfw02h,0,0,4000000,116490352,0,0,0,0,0,0,0,0,0,0,116490352,116.490352
7d41779423cd09c9798bb3cea6f8e1db7d3671d0079a8c633b8b1825,addr1q975zau5y0xsnjte3weuafhcu8dh6dn36qre4rrr8w93sfgenp8vhznjegcqxhclmrumy0npxuz2ycsv47f7m4z4gceqmaeq4p,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7d46785848a7c35d81b03ec535d0c23ac63533d90da5057a6c75defd,addr1q975v7zcfznuxhvpkqlv2dwscgavvdfnmyx62pt6d36aalvsrl2ncqkqr070wdy7jmcgcjd4nz4c759qp9prd53y46vsyg6wvm,0,0,17000000,495083998,0,0,0,0,0,0,0,0,0,0,495083998,495.083998
7d46823bb538797d7077b0a49aa3ed0aa40fdfa96397d69a07529dcd,addr1q975dq3mk5u8jltsw7c2fx4ra592gr7l493e0456qaffmn0ejh9kfg3wfx6d9hderr0dz9en8qk7hgjq9e5ywkphq9vswje3aj,0,0,9000000,262103293,0,0,0,0,0,0,0,0,0,0,262103293,262.103293
